,scenario_id,Human Share %,OpenAI Share %,Google Share %,Anthropic Share %,market_structure,firesale_term,adversarial,label
0,0,100.0,0.0,0.0,0.0,No AI,0.05,False,[0] baseline - no AI
1,1,75.0,25.0,0.0,0.0,Monopoly,0.08471093749999999,False,25% AI adoption - Monopoly (OpenAI)
2,2,75.0,0.0,0.0,25.0,Monopoly,0.0563671875,False,25% AI adoption - Monopoly (Anthropic)
3,3,75.0,0.0,25.0,0.0,Monopoly,0.07,False,25% AI adoption - Monopoly (Google)
4,4,75.0,8.333333333333332,8.333333333333332,8.333333333333332,Equal diversity,0.070359375,False,25% AI adoption - Equal diversity
5,5,75.0,15.0,5.0,5.0,Skewed oligopoly,0.0761,False,25% AI adoption - Skewed oligopoly (OpenAI)
6,6,75.0,5.0,5.0,15.0,Skewed oligopoly,0.0647625,False,25% AI adoption - Skewed oligopoly (Anthropic)
7,7,75.0,5.0,15.0,5.0,Skewed oligopoly,0.070215625,False,25% AI adoption - Skewed oligopoly (Google)
8,8,50.0,50.0,0.0,0.0,Monopoly,0.119421875,False,50% AI adoption - Monopoly (OpenAI)
9,9,50.0,0.0,0.0,50.0,Monopoly,0.06273437500000001,False,50% AI adoption - Monopoly (Anthropic)
10,10,50.0,0.0,50.0,0.0,Monopoly,0.09000000000000001,False,50% AI adoption - Monopoly (Google)
11,11,50.0,16.666666666666664,16.666666666666664,16.666666666666664,Equal diversity,0.09071875,False,50% AI adoption - Equal diversity
12,12,50.0,30.0,10.0,10.0,Skewed oligopoly,0.1022,False,50% AI adoption - Skewed oligopoly (OpenAI)
13,13,50.0,10.0,10.0,30.0,Skewed oligopoly,0.07952500000000001,False,50% AI adoption - Skewed oligopoly (Anthropic)
14,14,50.0,10.0,30.0,10.0,Skewed oligopoly,0.09043125,False,50% AI adoption - Skewed oligopoly (Google)
15,15,25.0,75.0,0.0,0.0,Monopoly,0.1541328125,False,75% AI adoption - Monopoly (OpenAI)
16,16,25.0,0.0,0.0,75.0,Monopoly,0.0691015625,False,75% AI adoption - Monopoly (Anthropic)
17,17,25.0,0.0,75.0,0.0,Monopoly,0.11000000000000001,False,75% AI adoption - Monopoly (Google)
18,18,25.0,25.0,25.0,25.0,Equal diversity,0.111078125,False,75% AI adoption - Equal diversity
19,19,25.0,45.0,15.0,15.0,Skewed oligopoly,0.1283,False,75% AI adoption - Skewed oligopoly (OpenAI)
20,20,25.0,15.0,15.0,45.0,Skewed oligopoly,0.0942875,False,75% AI adoption - Skewed oligopoly (Anthropic)
21,21,25.0,15.0,45.0,15.0,Skewed oligopoly,0.110646875,False,75% AI adoption - Skewed oligopoly (Google)
22,22,0.0,100.0,0.0,0.0,Monopoly,0.18884374999999998,False,100% AI adoption - Monopoly (OpenAI)
23,23,0.0,0.0,0.0,100.0,Monopoly,0.07546875,False,100% AI adoption - Monopoly (Anthropic)
24,24,0.0,0.0,100.0,0.0,Monopoly,0.13,False,100% AI adoption - Monopoly (Google)
25,25,0.0,33.33333333333333,33.33333333333333,33.33333333333333,Equal diversity,0.13143749999999998,False,100% AI adoption - Equal diversity
26,26,0.0,60.0,20.0,20.0,Skewed oligopoly,0.15439999999999998,False,100% AI adoption - Skewed oligopoly (OpenAI)
27,27,0.0,20.0,20.0,60.0,Skewed oligopoly,0.10905000000000001,False,100% AI adoption - Skewed oligopoly (Anthropic)
28,28,0.0,20.0,60.0,20.0,Skewed oligopoly,0.1308625,False,100% AI adoption - Skewed oligopoly (Google)
29,0,100.0,0.0,0.0,0.0,No AI,0.05,True,[0] baseline - no AI (Adversarial)
30,1,75.0,25.0,0.0,0.0,Monopoly,0.11260937499999998,True,25% AI adoption - Monopoly (OpenAI) (Adversarial)
31,2,75.0,0.0,0.0,25.0,Monopoly,0.08984375,True,25% AI adoption - Monopoly (Anthropic) (Adversarial)
32,3,75.0,0.0,25.0,0.0,Monopoly,0.10238932291666666,True,25% AI adoption - Monopoly (Google) (Adversarial)
33,4,75.0,8.333333333333332,8.333333333333332,8.333333333333332,Equal diversity,0.10161414930555555,True,25% AI adoption - Equal diversity (Adversarial)
