,scenario_id,Human Share %,OpenAI Share %,Google Share %,Anthropic Share %,market_structure,firesale_term,adversarial,label
0,0,100.0,0.0,0.0,0.0,No AI,0.05,False,[0] baseline - no AI
1,1,75.0,25.0,0.0,0.0,Monopoly,0.07526875,False,25% AI adoption - Monopoly (OpenAI)
2,2,75.0,0.0,0.0,25.0,Monopoly,0.05259375000000001,False,25% AI adoption - Monopoly (Anthropic)
3,3,75.0,0.0,25.0,0.0,Monopoly,0.0635,False,25% AI adoption - Monopoly (Google)
4,4,75.0,8.333333333333332,8.333333333333332,8.333333333333332,Equal diversity,0.0637875,False,25% AI adoption - Equal diversity
5,5,75.0,15.0,5.0,5.0,Skewed oligopoly,0.06838,False,25% AI adoption - Skewed oligopoly (OpenAI)
6,6,75.0,5.0,5.0,15.0,Skewed oligopoly,0.05931000000000001,False,25% AI adoption - Skewed oligopoly (Anthropic)
7,7,75.0,5.0,15.0,5.0,Skewed oligopoly,0.0636725,False,25% AI adoption - Skewed oligopoly (Google)
8,8,50.0,50.0,0.0,0.0,Monopoly,0.1005375,False,50% AI adoption - Monopoly (OpenAI)
9,9,50.0,0.0,0.0,50.0,Monopoly,0.0551875,False,50% AI adoption - Monopoly (Anthropic)
10,10,50.0,0.0,50.0,0.0,Monopoly,0.07700000000000001,False,50% AI adoption - Monopoly (Google)
11,11,50.0,16.666666666666664,16.666666666666664,16.666666666666664,Equal diversity,0.077575,False,50% AI adoption - Equal diversity
12,12,50.0,30.0,10.0,10.0,Skewed oligopoly,0.08676,False,50% AI adoption - Skewed oligopoly (OpenAI)
13,13,50.0,10.0,10.0,30.0,Skewed oligopoly,0.06862000000000001,False,50% AI adoption - Skewed oligopoly (Anthropic)
14,14,50.0,10.0,30.0,10.0,Skewed oligopoly,0.077345,False,50% AI adoption - Skewed oligopoly (Google)
15,15,25.0,75.0,0.0,0.0,Monopoly,0.12580625,False,75% AI adoption - Monopoly (OpenAI)
16,16,25.0,0.0,0.0,75.0,Monopoly,0.057781250000000006,False,75% AI adoption - Monopoly (Anthropic)
17,17,25.0,0.0,75.0,0.0,Monopoly,0.09050000000000001,False,75% AI adoption - Monopoly (Google)
18,18,25.0,25.0,25.0,25.0,Equal diversity,0.0913625,False,75% AI adoption - Equal diversity
19,19,25.0,45.0,15.0,15.0,Skewed oligopoly,0.10514,False,75% AI adoption - Skewed oligopoly (OpenAI)
20,20,25.0,15.0,15.0,45.0,Skewed oligopoly,0.07793,False,75% AI adoption - Skewed oligopoly (Anthropic)
21,21,25.0,15.0,45.0,15.0,Skewed oligopoly,0.0910175,False,75% AI adoption - Skewed oligopoly (Google)
22,22,0.0,100.0,0.0,0.0,Monopoly,0.151075,False,100% AI adoption - Monopoly (OpenAI)
23,23,0.0,0.0,0.0,100.0,Monopoly,0.060375000000000005,False,100% AI adoption - Monopoly (Anthropic)
24,24,0.0,0.0,100.0,0.0,Monopoly,0.10400000000000001,False,100% AI adoption - Monopoly (Google)
25,25,0.0,33.33333333333333,33.33333333333333,33.33333333333333,Equal diversity,0.10515,False,100% AI adoption - Equal diversity
