,scenario_id,Human Share %,OpenAI Share %,Google Share %,Anthropic Share %,market_structure,firesale_term,adversarial,label
0,0,100.0,0.0,0.0,0.0,No AI,0.0495,False,[0] baseline - no AI
1,1,75.0,25.0,0.0,0.0,Monopoly,0.09377812499999999,False,25% AI adoption - Monopoly (OpenAI)
2,2,75.0,0.0,0.0,25.0,Monopoly,0.059765625,False,25% AI adoption - Monopoly (Anthropic)
3,3,75.0,0.0,25.0,0.0,Monopoly,0.076125,False,25% AI adoption - Monopoly (Google)
4,4,75.0,8.333333333333332,8.333333333333332,8.333333333333332,Equal diversity,0.07655624999999999,False,25% AI adoption - Equal diversity
5,5,75.0,15.0,5.0,5.0,Skewed oligopoly,0.08344499999999999,False,25% AI adoption - Skewed oligopoly (OpenAI)
6,6,75.0,5.0,5.0,15.0,Skewed oligopoly,0.06984000000000001,False,25% AI adoption - Skewed oligopoly (Anthropic)
7,7,75.0,5.0,15.0,5.0,Skewed oligopoly,0.07638375,False,25% AI adoption - Skewed oligopoly (Google)
8,8,50.0,50.0,0.0,0.0,Monopoly,0.13805625,False,50% AI adoption - Monopoly (OpenAI)
9,9,50.0,0.0,0.0,50.0,Monopoly,0.07003125000000002,False,50% AI adoption - Monopoly (Anthropic)
10,10,50.0,0.0,50.0,0.0,Monopoly,0.10275000000000001,False,50% AI adoption - Monopoly (Google)
11,11,50.0,16.666666666666664,16.666666666666664,16.666666666666664,Equal diversity,0.1036125,False,50% AI adoption - Equal diversity
12,12,50.0,30.0,10.0,10.0,Skewed oligopoly,0.11739,False,50% AI adoption - Skewed oligopoly (OpenAI)
13,13,50.0,10.0,10.0,30.0,Skewed oligopoly,0.09018000000000001,False,50% AI adoption - Skewed oligopoly (Anthropic)
14,14,50.0,10.0,30.0,10.0,Skewed oligopoly,0.10326750000000001,False,50% AI adoption - Skewed oligopoly (Google)
15,15,25.0,75.0,0.0,0.0,Monopoly,0.182334375,False,75% AI adoption - Monopoly (OpenAI)
16,16,25.0,0.0,0.0,75.0,Monopoly,0.080296875,False,75% AI adoption - Monopoly (Anthropic)
17,17,25.0,0.0,75.0,0.0,Monopoly,0.12937500000000002,False,75% AI adoption - Monopoly (Google)
18,18,25.0,25.0,25.0,25.0,Equal diversity,0.13066875,False,75% AI adoption - Equal diversity
19,19,25.0,45.0,15.0,15.0,Skewed oligopoly,0.151335,False,75% AI adoption - Skewed oligopoly (OpenAI)
20,20,25.0,15.0,15.0,45.0,Skewed oligopoly,0.11052,False,75% AI adoption - Skewed oligopoly (Anthropic)
21,21,25.0,15.0,45.0,15.0,Skewed oligopoly,0.13015125,False,75% AI adoption - Skewed oligopoly (Google)
22,22,0.0,100.0,0.0,0.0,Monopoly,0.2266125,False,100% AI adoption - Monopoly (OpenAI)
23,23,0.0,0.0,0.0,100.0,Monopoly,0.0905625,False,100% AI adoption - Monopoly (Anthropic)
24,24,0.0,0.0,100.0,0.0,Monopoly,0.15600000000000003,False,100% AI adoption - Monopoly (Google)
25,25,0.0,33.33333333333333,33.33333333333333,33.33333333333333,Equal diversity,0.157725,False,100% AI adoption - Equal diversity
26,26,0.0,60.0,20.0,20.0,Skewed oligopoly,0.18528,False,100% AI adoption - Skewed oligopoly (OpenAI)
27,27,0.0,20.0,20.0,60.0,Skewed oligopoly,0.13086000000000003,False,100% AI adoption - Skewed oligopoly (Anthropic)
28,28,0.0,20.0,60.0,20.0,Skewed oligopoly,0.157035,False,100% AI adoption - Skewed oligopoly (Google)
29,0,100.0,0.0,0.0,0.0,No AI,0.0495,True,[0] baseline - no AI (Adversarial)
30,1,75.0,25.0,0.0,0.0,Monopoly,0.12725625,True,25% AI adoption - Monopoly (OpenAI) (Adversarial)
31,2,75.0,0.0,0.0,25.0,Monopoly,0.09993749999999998,True,25% AI adoption - Monopoly (Anthropic) (Adversarial)
32,3,75.0,0.0,25.0,0.0,Monopoly,0.11499218749999998,True,25% AI adoption - Monopoly (Google) (Adversarial)
33,4,75.0,8.333333333333332,8.333333333333332,8.333333333333332,Equal diversity,0.11406197916666667,True,25% AI adoption - Equal diversity (Adversarial)
34,5,75.0,15.0,5.0,5.0,Skewed oligopoly,0.11933968749999999,True,25% AI adoption - Skewed oligopoly (OpenAI) (Adversarial)
35,6,75.0,5.0,5.0,15.0,Skewed oligopoly,0.1084121875,True,25% AI adoption - Skewed oligopoly (Anthropic) (Adversarial)
36,7,75.0,5.0,15.0,5.0,Skewed oligopoly,0.11443406249999999,True,25% AI adoption - Skewed oligopoly (Google) (Adversarial)
37,8,50.0,50.0,0.0,0.0,Monopoly,0.2050125,True,50% AI adoption - Monopoly (OpenAI) (Adversarial)
